scope,position,item,count,frequency_within_position
paragraph_token,initial,Q2K1J1B1A2,10,0.01904761904761905
paragraph_token,initial,P1A1B2,7,0.013333333333333334
paragraph_token,initial,P1K1A1C1,6,0.011428571428571429
paragraph_token,initial,P1K1J1B1A3C1,6,0.011428571428571429
paragraph_token,initial,P1K1J1A1B2,5,0.009523809523809525
paragraph_token,initial,Q2K1A1C1,5,0.009523809523809525
paragraph_token,initial,P1A1B2K1J1B1A2,4,0.007619047619047619
paragraph_token,initial,P1K1B1A3F3,4,0.007619047619047619
paragraph_token,initial,P1K1J1A1C1,4,0.007619047619047619
paragraph_token,initial,P1K1J1B1A2,4,0.007619047619047619
paragraph_token,initial,P1K1J1B1A3G1,4,0.007619047619047619
paragraph_token,initial,Q2A1B2,4,0.007619047619047619
paragraph_token,initial,Q2L1J1B1A2,4,0.007619047619047619
paragraph_token,initial,P1A3F3,3,0.005714285714285714
paragraph_token,initial,P1K1A1,3,0.005714285714285714
paragraph_token,initial,P1K1A1B1A3F1,3,0.005714285714285714
paragraph_token,initial,P1K1A1U2A2,3,0.005714285714285714
paragraph_token,initial,P1L1A1B2,3,0.005714285714285714
paragraph_token,initial,Q2L1A1B2,3,0.005714285714285714
paragraph_token,initial,B1A3F1,2,0.0038095238095238095
paragraph_token,initial,P1A1A3C1,2,0.0038095238095238095
paragraph_token,initial,P1A1B2A1C1,2,0.0038095238095238095
paragraph_token,initial,P1A1B2A3C1,2,0.0038095238095238095
paragraph_token,initial,P1A1B2A3G1,2,0.0038095238095238095
paragraph_token,initial,P1A1B2K1B1A2,2,0.0038095238095238095
paragraph_token,initial,P1A1B2Q1K2A2,2,0.0038095238095238095
paragraph_token,initial,P1A1C1,2,0.0038095238095238095
paragraph_token,initial,P1A2B1A3G1,2,0.0038095238095238095
paragraph_token,initial,P1A3C1,2,0.0038095238095238095
paragraph_token,initial,P1B1A3C1,2,0.0038095238095238095
paragraph_token,initial,P1K1A1B2,2,0.0038095238095238095
paragraph_token,initial,P1K1A3C1,2,0.0038095238095238095
paragraph_token,initial,P1K1B1A3C1,2,0.0038095238095238095
paragraph_token,initial,P1K1B1A3G1,2,0.0038095238095238095
paragraph_token,initial,P1K1J1A1,2,0.0038095238095238095
paragraph_token,initial,P1K1J1A2,2,0.0038095238095238095
paragraph_token,initial,P1K1J1B1A3B2,2,0.0038095238095238095
paragraph_token,initial,P1L1J1A1B1A2,2,0.0038095238095238095
paragraph_token,initial,P2K1A1,2,0.0038095238095238095
paragraph_token,initial,Q1K1A1B2,2,0.0038095238095238095
paragraph_token,initial,Q2A1A2,2,0.0038095238095238095
paragraph_token,initial,Q2A1B1A3G1,2,0.0038095238095238095
paragraph_token,initial,Q2K1A1B1A2,2,0.0038095238095238095
paragraph_token,initial,Q2K1A1B2,2,0.0038095238095238095
paragraph_token,initial,Q2K1B1A1C1,2,0.0038095238095238095
paragraph_token,initial,Q2K1J1B1A1C1,2,0.0038095238095238095
paragraph_token,initial,Q2K2A1B1A2,2,0.0038095238095238095
paragraph_token,initial,Q2L1J1A2,2,0.0038095238095238095
paragraph_token,initial,A1B1A3C1,1,0.0019047619047619048
paragraph_token,initial,A1B1A3J1G1,1,0.0019047619047619048
paragraph_token,initial,A1D1A1Q1A3G1,1,0.0019047619047619048
paragraph_token,initial,A1K1J1A1U4J1A2,1,0.0019047619047619048
paragraph_token,initial,A1P1A1B1K1A1B2,1,0.0019047619047619048
paragraph_token,initial,A1P1A3C1K1A2,1,0.0019047619047619048
paragraph_token,initial,A1P1K1K2A2,1,0.0019047619047619048
paragraph_token,initial,A1P2A2B1A2,1,0.0019047619047619048
paragraph_token,initial,A1Q1A3C1,1,0.0019047619047619048
paragraph_token,initial,A1Q1J1A3B2,1,0.0019047619047619048
paragraph_token,initial,A1Q1K2A1,1,0.0019047619047619048
paragraph_token,initial,A1Q1K2A2,1,0.0019047619047619048
paragraph_token,initial,A1Q1K2C2,1,0.0019047619047619048
paragraph_token,initial,A1Q2A1B2B1A1C2,1,0.0019047619047619048
paragraph_token,initial,A1Q2A3B3,1,0.0019047619047619048
paragraph_token,initial,A1Q2J1B1A2,1,0.0019047619047619048
paragraph_token,initial,A1Q2K1B1A2,1,0.0019047619047619048
paragraph_token,initial,A1Q2K1C2,1,0.0019047619047619048
paragraph_token,initial,A1Q2K1J1A3B2Q1A3C1,1,0.0019047619047619048
paragraph_token,initial,A2A1Q1A3B2A1B1,1,0.0019047619047619048
paragraph_token,initial,A2B1A3F1,1,0.0019047619047619048
paragraph_token,initial,A2B1K1A1C2,1,0.0019047619047619048
paragraph_token,initial,A2K1J1A1B2,1,0.0019047619047619048
paragraph_token,initial,A2K1J1A1C1,1,0.0019047619047619048
paragraph_token,initial,A2K1K2A2,1,0.0019047619047619048
paragraph_token,initial,A2P1K1J1B1A2,1,0.0019047619047619048
paragraph_token,initial,A2Q2A1B1A2,1,0.0019047619047619048
paragraph_token,initial,A2Q2A1J1A1P1K1J1A2,1,0.0019047619047619048
paragraph_token,initial,A2Q2J1A1A1C1,1,0.0019047619047619048
paragraph_token,initial,A2Q2K1J1B1A2,1,0.0019047619047619048
paragraph_token,initial,B1A1C1L1J1A1A2,1,0.0019047619047619048
paragraph_token,initial,B1A1C1Q1K1J1Q1A2,1,0.0019047619047619048
paragraph_token,initial,B1A1C2A3C1,1,0.0019047619047619048
paragraph_token,initial,B1A3B2K1A2,1,0.0019047619047619048
paragraph_token,initial,B1A3C1,1,0.0019047619047619048
paragraph_token,initial,B1A3G1,1,0.0019047619047619048
paragraph_token,initial,B1K1J1A1B1B2,1,0.0019047619047619048
paragraph_token,initial,B1K1J1B1A3F1,1,0.0019047619047619048
paragraph_token,initial,B2Q2K2B1A2,1,0.0019047619047619048
paragraph_token,initial,C1A1A3C1,1,0.0019047619047619048
paragraph_token,initial,C2A1B2K1B1,1,0.0019047619047619048
paragraph_token,initial,C2A1B2P1K1B1,1,0.0019047619047619048
paragraph_token,initial,C2A1B2Q1K2A2,1,0.0019047619047619048
paragraph_token,initial,C2A1C1,1,0.0019047619047619048
paragraph_token,initial,C2A1C1A1B2C2,1,0.0019047619047619048
paragraph_token,initial,C2A1L1A2,1,0.0019047619047619048
paragraph_token,initial,C2A3F1,1,0.0019047619047619048
paragraph_token,initial,D1A1A3C1,1,0.0019047619047619048
paragraph_token,initial,D1A1A3F1,1,0.0019047619047619048
paragraph_token,initial,D1A1B1A2,1,0.0019047619047619048
paragraph_token,initial,D1A1B2L1A2,1,0.0019047619047619048
paragraph_token,initial,D1A1L1K2B1A2,1,0.0019047619047619048
paragraph_token,initial,D1A1P2K1J1A1B2,1,0.0019047619047619048
paragraph_token,initial,D1A1Q1A1B2B1A2,1,0.0019047619047619048
paragraph_token,initial,D1A1Q1A1G1,1,0.0019047619047619048
paragraph_token,initial,D1A1Q1K1J1A1B1A2,1,0.0019047619047619048
paragraph_token,initial,D1A1Q1K2B1,1,0.0019047619047619048
paragraph_token,initial,D1A1Q1K2B1A2,1,0.0019047619047619048
paragraph_token,initial,D1A1Q2A1B2,1,0.0019047619047619048
paragraph_token,initial,D1A1Q2A1C1,1,0.0019047619047619048
paragraph_token,initial,D1A1Q2K1A2Q2A1C1,1,0.0019047619047619048
paragraph_token,initial,D1J1Q2J1B1A2,1,0.0019047619047619048
paragraph_token,initial,K1A1B2,1,0.0019047619047619048
paragraph_token,initial,K1B1Z1F1,1,0.0019047619047619048
paragraph_token,initial,L1A1Q1K1A2,1,0.0019047619047619048
paragraph_token,initial,L1J1B1J1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1A3B2A1C2A2,1,0.0019047619047619048
paragraph_token,initial,P1A1A3B2L1C2A3B2,1,0.0019047619047619048
paragraph_token,initial,P1A1A3C1A3B2,1,0.0019047619047619048
paragraph_token,initial,P1A1B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B1A3F3A1B2,1,0.0019047619047619048
paragraph_token,initial,P1A1B1A3G1,1,0.0019047619047619048
paragraph_token,initial,P1A1B1A3G3,1,0.0019047619047619048
paragraph_token,initial,P1A1B1Q1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2A2L1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2A3B2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2A3F3A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2B1A3C1A3E1C2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2B1A3G1,1,0.0019047619047619048
paragraph_token,initial,P1A1B2B1A3Q1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2B1L1J1B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2B2A3G1,1,0.0019047619047619048
paragraph_token,initial,P1A1B2K1A1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2K1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2K1A3B2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2K1B2C2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2K1J1A1B2Q1A3F1,1,0.0019047619047619048
paragraph_token,initial,P1A1B2K1J1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2K1J1K1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2K2A1B2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2L1A1B2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2L1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2L1J1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2L1J1B1A3G1,1,0.0019047619047619048
paragraph_token,initial,P1A1B2Q1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2Q1G1,1,0.0019047619047619048
paragraph_token,initial,P1A1B2Q1J1B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2Q1K2A1,1,0.0019047619047619048
paragraph_token,initial,P1A1B2Q1K2B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2Q1K2B1A3B2,1,0.0019047619047619048
paragraph_token,initial,P1A1B2Q2J1L1A1B2,1,0.0019047619047619048
paragraph_token,initial,P1A1C1A1,1,0.0019047619047619048
paragraph_token,initial,P1A1C1A1C1,1,0.0019047619047619048
paragraph_token,initial,P1A1C1A3F1,1,0.0019047619047619048
paragraph_token,initial,P1A1C1A3F3,1,0.0019047619047619048
paragraph_token,initial,P1A1C1A3G1,1,0.0019047619047619048
paragraph_token,initial,P1A1C1A3G2B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1C1A3K1A1B2,1,0.0019047619047619048
paragraph_token,initial,P1A1C2A3B2L1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1C2A3F3A2,1,0.0019047619047619048
paragraph_token,initial,P1A1C2A3G1,1,0.0019047619047619048
paragraph_token,initial,P1A1C2L1J1A1B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1J1A1Q1K2A2,1,0.0019047619047619048
paragraph_token,initial,P1A1J1B1A3F3,1,0.0019047619047619048
paragraph_token,initial,P1A1K1A1C1,1,0.0019047619047619048
paragraph_token,initial,P1A1K1A3G1,1,0.0019047619047619048
paragraph_token,initial,P1A1K1J1A1B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1K1J1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1K1J1B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1K2A3C1,1,0.0019047619047619048
paragraph_token,initial,P1A1K2A3G1,1,0.0019047619047619048
paragraph_token,initial,P1A1L1A1B1A2,1,0.0019047619047619048
paragraph_token,initial,P1A1L1J1A1C1,1,0.0019047619047619048
paragraph_token,initial,P1A1L1J1A1C2,1,0.0019047619047619048
paragraph_token,initial,P1A1Q1A3C1,1,0.0019047619047619048
paragraph_token,initial,P1A1Q2A1A2,1,0.0019047619047619048
paragraph_token,initial,P1A2B1A3C1,1,0.0019047619047619048
