source_id,language,seed,base_mapping_identical_to_phase3a4,master_suffix_inventory_order_identical_to_phase3a4_K16,parent_master_key_identical,encoded_base_identical_train_validation,token_length_identical_train_validation,base_token_comparisons,parent_corpus_sha256,parent_key_sha256,new_corpus_sha256,new_key_sha256
french_profiterole_ud218,French,40814041438,True,True,True,True,True,17010,8d5338fd6cad648300c3d7451325cb8637a1b039ceda294108ebb4d94ad84242,3f9d0f94f1206acd3995f918906f196308a80bb72cb62295800dfd2d2e5c4816,d4102093297ac2e1ae42339c7a5abb8724141f21392d33af43ad58e50c57cdb9,af5a17465ff924beef629a6d9b57a552b0fdb20be0e7c639bcf3338dec8548c7
french_profiterole_ud218,French,40814041439,True,True,True,True,True,17010,6ed19701e30e61ad2fdbd90579e2036edcf5404e5a7fa9376d5d1cf336cdcaba,440666f1fca575f994bcfbe0bd5fe3a96d6994796bb79d045c1305b7a44453b7,8bc5e48dbd1c0ba7cb01db978caa802c8e0b73c087158a3d41e804087f777ce2,d8bf4549eb532dd78c054172272fc2286f4fe4df8df583cd3f2eb7aeb96a654a
french_profiterole_ud218,French,40814041440,True,True,True,True,True,17010,df8f607e14168ffdac3f62972aca39e17c675f55a61684f68a4b0b267d5fbe72,116298656fa109f3e927d96856b1472ed324a8d78cb85b5d66d3143780782afb,95562258601d6b1edfcd89a41b3f8ec59d520915d938ab993f65f44a1fc2040e,a28cf99453ba9b7dc590fdfec5acc8fb88ef6147ee6876a9599fcb51e128b81d
french_profiterole_ud218,French,40814041441,True,True,True,True,True,17010,eb66c2a35e59955ecb340e9f501d1d287ccf5e0081901798607f279a53ff6b12,acd695632e96a4a3cabbbac15776944221fb8b5dd89b9ea45d898528f58b85f7,9e947704fad804a832626d3bb62221c9dd614aba7da73b7536a23ab27913abb8,ba2afe8dac0d4bcd2326816104b73b97102b4839f96fdc1d4d01d3bf395a04ca
french_profiterole_ud218,French,40814041442,True,True,True,True,True,17010,7ce8dd4455117c7b931b8a457fec85355e536c9d72ce10af0c466b0265b896ab,a1236b19dc604f6ed01e5b424249b3a2cf640d52bf0e92a85e03c4aefa05a0b2,ff2b0422593534df13e6e5c5d07ce6d956909e61603947a9834ac0ecc7d12e0c,fe41f32aa648f36c8dc3a1e45ae592f1796d463dbd98204a18abdae8e7d4875a
german_rem_v21,German,40814041438,True,True,True,True,True,17100,d90bb0456cbf372d7167c45aaa1bcef7adabdcacb92e24d79f3a5dc7f5c1502e,6fc799581301a89192106580f4e75978ccea98f76874c2132730ee3df362a880,a62f2dc1cfc1202250377aa515fe79f12fcf0a45f18c0fcc71bf9f8fb1aa8516,e54dcbaf331451a8d5f3fec11855e02b0212fce02ae34ae4c8ab97575e80ca40
german_rem_v21,German,40814041439,True,True,True,True,True,17100,ec111720d80763c282d30184228880a42b14ddd5b161926bcbe954c2b62bd12c,454f5a4715e8b15fa8f8a5422546933893ce5d5fea1b403ab2ab90dc16daf240,ec916cc351ae760be33cb87d7ee96a3f43bdc64819ef46282e1202c3c0682c67,6d773650ceda6d9bf35c5b756fb8c66370f826320136cfbc1d86cfd6e66cdfa9
german_rem_v21,German,40814041440,True,True,True,True,True,17100,31f59b38b764fe2fc0e5484934e45e4a8e5dee6c261f3e931738565fcf2424f5,a3f0cc735e57e2f86d3997ddc3f8d016dcbfdcad721eb4715b678e9745f4ccd6,c6f42f491ab50709878eac5ac0efaf8ca161fbf1ef0152c1ac5d1d6415d78ae8,706b5b47a7e158f64c3111c9a17774da8cd419dc848bc4e988b509cd21239655
german_rem_v21,German,40814041441,True,True,True,True,True,17100,686a458fe9d06faa43deacdd83f086d91a9842e7baf47d259f57894722510203,9359d34a0c81cfebbdc68cbb3fd0cbfc70a5eb3b84356005506f42543703e5ac,705fab79fca1f39317a9dab7f228e50b235e61f4dcb8ec696844c92c94ddc25b,289a801754b41c1b2568794d56ac235f98bb914af63bf0c39f333446b63f6cab
german_rem_v21,German,40814041442,True,True,True,True,True,17100,de8bbcb749d4a4729922177ed2aca90c59d4ce48737c5a4fab5ad94c27c1294e,8814191c8e4f0f3f41b78ec8251d81482745d32af2c91104fc6f975863627c8f,529e4e30e036362f2141c375e5b4e5f4049605a41e2251d82ee0da01588b5970,87dbb8cd72151ffd7974e76593e352149baf66fa9251e71086ee0e1b712bf5d0
