source_id,language,seed,factorization,base_mapping_identical_to_phase3a4,parent_master_key_identical,train_abstract_identity_sha256,validation_abstract_identity_sha256,train_variant_schedule_identical_to_phase3a4_k16,validation_variant_schedule_identical_to_phase3a4_k16,parent_k16_corpus_sha256
french_profiterole_ud218,French,40814041438,1x16,True,True,48ae9b37458f49de26d9e6dcce325495557dee581506d1977e2cc65bb223a0a0,a7a1fbda61bdabc36ea5b5905f006deaeb56433008ef2da52c4f9ba261948133,True,True,8d5338fd6cad648300c3d7451325cb8637a1b039ceda294108ebb4d94ad84242
french_profiterole_ud218,French,40814041439,1x16,True,True,5eda2510dd3f08bdf2864da61c8cf26df504f879141da5cf55511080f728cd93,c27efd758c3f0492c4b39055aec427cb31c58cb78d42e3a95da8805bc23e9fa6,True,True,6ed19701e30e61ad2fdbd90579e2036edcf5404e5a7fa9376d5d1cf336cdcaba
french_profiterole_ud218,French,40814041440,1x16,True,True,f5d9a973a6fcf590a7b9e4c541844b7886d28324d6c163be7a37116652458413,09d00eb2339c188cbd05b0ae1f39f6005ad1cbae8aa9f7c4f4c315cfc895398c,True,True,df8f607e14168ffdac3f62972aca39e17c675f55a61684f68a4b0b267d5fbe72
french_profiterole_ud218,French,40814041441,1x16,True,True,962caccb035f83e2c4339c4e997665ad150928bf57e87a9de43703534dc0f09e,5444f871d426498a0dab6e244a6d332ef245b2f1c322eb743dae53c25f82bda4,True,True,eb66c2a35e59955ecb340e9f501d1d287ccf5e0081901798607f279a53ff6b12
french_profiterole_ud218,French,40814041442,1x16,True,True,1ffe2cb2e2853ca7b1eca3dacc894aec7c7d31982643639a0c0cc52d78650c52,7ea4b085e0843a6b33a3488dedde927c9503c8e822a0118de4b5fd83de5cce62,True,True,7ce8dd4455117c7b931b8a457fec85355e536c9d72ce10af0c466b0265b896ab
french_profiterole_ud218,French,40814041438,2x8,True,True,48ae9b37458f49de26d9e6dcce325495557dee581506d1977e2cc65bb223a0a0,a7a1fbda61bdabc36ea5b5905f006deaeb56433008ef2da52c4f9ba261948133,True,True,8d5338fd6cad648300c3d7451325cb8637a1b039ceda294108ebb4d94ad84242
french_profiterole_ud218,French,40814041439,2x8,True,True,5eda2510dd3f08bdf2864da61c8cf26df504f879141da5cf55511080f728cd93,c27efd758c3f0492c4b39055aec427cb31c58cb78d42e3a95da8805bc23e9fa6,True,True,6ed19701e30e61ad2fdbd90579e2036edcf5404e5a7fa9376d5d1cf336cdcaba
french_profiterole_ud218,French,40814041440,2x8,True,True,f5d9a973a6fcf590a7b9e4c541844b7886d28324d6c163be7a37116652458413,09d00eb2339c188cbd05b0ae1f39f6005ad1cbae8aa9f7c4f4c315cfc895398c,True,True,df8f607e14168ffdac3f62972aca39e17c675f55a61684f68a4b0b267d5fbe72
french_profiterole_ud218,French,40814041441,2x8,True,True,962caccb035f83e2c4339c4e997665ad150928bf57e87a9de43703534dc0f09e,5444f871d426498a0dab6e244a6d332ef245b2f1c322eb743dae53c25f82bda4,True,True,eb66c2a35e59955ecb340e9f501d1d287ccf5e0081901798607f279a53ff6b12
french_profiterole_ud218,French,40814041442,2x8,True,True,1ffe2cb2e2853ca7b1eca3dacc894aec7c7d31982643639a0c0cc52d78650c52,7ea4b085e0843a6b33a3488dedde927c9503c8e822a0118de4b5fd83de5cce62,True,True,7ce8dd4455117c7b931b8a457fec85355e536c9d72ce10af0c466b0265b896ab
french_profiterole_ud218,French,40814041438,4x4,True,True,48ae9b37458f49de26d9e6dcce325495557dee581506d1977e2cc65bb223a0a0,a7a1fbda61bdabc36ea5b5905f006deaeb56433008ef2da52c4f9ba261948133,True,True,8d5338fd6cad648300c3d7451325cb8637a1b039ceda294108ebb4d94ad84242
french_profiterole_ud218,French,40814041439,4x4,True,True,5eda2510dd3f08bdf2864da61c8cf26df504f879141da5cf55511080f728cd93,c27efd758c3f0492c4b39055aec427cb31c58cb78d42e3a95da8805bc23e9fa6,True,True,6ed19701e30e61ad2fdbd90579e2036edcf5404e5a7fa9376d5d1cf336cdcaba
french_profiterole_ud218,French,40814041440,4x4,True,True,f5d9a973a6fcf590a7b9e4c541844b7886d28324d6c163be7a37116652458413,09d00eb2339c188cbd05b0ae1f39f6005ad1cbae8aa9f7c4f4c315cfc895398c,True,True,df8f607e14168ffdac3f62972aca39e17c675f55a61684f68a4b0b267d5fbe72
french_profiterole_ud218,French,40814041441,4x4,True,True,962caccb035f83e2c4339c4e997665ad150928bf57e87a9de43703534dc0f09e,5444f871d426498a0dab6e244a6d332ef245b2f1c322eb743dae53c25f82bda4,True,True,eb66c2a35e59955ecb340e9f501d1d287ccf5e0081901798607f279a53ff6b12
french_profiterole_ud218,French,40814041442,4x4,True,True,1ffe2cb2e2853ca7b1eca3dacc894aec7c7d31982643639a0c0cc52d78650c52,7ea4b085e0843a6b33a3488dedde927c9503c8e822a0118de4b5fd83de5cce62,True,True,7ce8dd4455117c7b931b8a457fec85355e536c9d72ce10af0c466b0265b896ab
german_rem_v21,German,40814041438,1x16,True,True,5a4de2c295d385c475308cce68f16b0599a60951eeb624ff1d7499503b9ea9e6,fdece1a9449ddfd70241621b5eb61e0ce93b5b710cd6eb7fb0e30ad546764994,True,True,d90bb0456cbf372d7167c45aaa1bcef7adabdcacb92e24d79f3a5dc7f5c1502e
german_rem_v21,German,40814041439,1x16,True,True,6473dacf4254929c900f651b9bdba52e246f4e476ef8191f9dc8a186800e949a,723c7e95f806c7f1774127cb9a75fbb9a51e32fd2b0f01879b7875b05d385237,True,True,ec111720d80763c282d30184228880a42b14ddd5b161926bcbe954c2b62bd12c
german_rem_v21,German,40814041440,1x16,True,True,59e487d2fa602c4344b10b32aa3ee2c29e95b202535d0908b5627c8a3676feb1,e38d37341cff60e21e3843b1a14aaf0d8eca6851ac22224ba676dcca827fce1f,True,True,31f59b38b764fe2fc0e5484934e45e4a8e5dee6c261f3e931738565fcf2424f5
german_rem_v21,German,40814041441,1x16,True,True,f2dbb7851d8e530a031f1de23d70a7dc7f0c3814ce8754f1943c22f106829b2d,9095bf93364c80dfc14b3baf8a224d901129a652a8b31a9a9373c8073d85cf28,True,True,686a458fe9d06faa43deacdd83f086d91a9842e7baf47d259f57894722510203
german_rem_v21,German,40814041442,1x16,True,True,ca2c71029a2d64726f2c187cb19faee9ebc9fb6e6d36adca329a6fc3ea31c271,a30fc50c031b267347e5adf686fe98a8c1dea156550dd8e5c4d933cac0040c83,True,True,de8bbcb749d4a4729922177ed2aca90c59d4ce48737c5a4fab5ad94c27c1294e
