source_id,language,seed,phase3a6_key_sha256,key_lineage_exact,frozen_train_occurrence_state_sha256,development_validation_used,reserved_continues_directly_from_train
french_profiterole_ud218,French,40814041438,af5a17465ff924beef629a6d9b57a552b0fdb20be0e7c639bcf3338dec8548c7,True,5242a871f191d290533215f966fd648f339924ceb204157f4d3361817e85e2be,False,True
french_profiterole_ud218,French,40814041439,d8bf4549eb532dd78c054172272fc2286f4fe4df8df583cd3f2eb7aeb96a654a,True,0519379d4de7c82bfbd23b8e65e7476c74bd4edd5c2f7f20ce0641930ada9af4,False,True
french_profiterole_ud218,French,40814041440,a28cf99453ba9b7dc590fdfec5acc8fb88ef6147ee6876a9599fcb51e128b81d,True,19345a1520d21fe5b723ec43ae55e4f486e567142982d685850a40be63d115f7,False,True
french_profiterole_ud218,French,40814041441,ba2afe8dac0d4bcd2326816104b73b97102b4839f96fdc1d4d01d3bf395a04ca,True,553d6510381da45996400964e8960c761dffae6f6ca77ad638d538b62d4fbecd,False,True
french_profiterole_ud218,French,40814041442,fe41f32aa648f36c8dc3a1e45ae592f1796d463dbd98204a18abdae8e7d4875a,True,e88a1079c556bc6365c59a05343c67ec836b5e6bf00814ba93901a103fa5fa37,False,True
german_rem_v21,German,40814041438,e54dcbaf331451a8d5f3fec11855e02b0212fce02ae34ae4c8ab97575e80ca40,True,b900cfa2d1e64b86cb655cb3b1532453c13e1bb2c323bbc701f49d1b81c8a27b,False,True
german_rem_v21,German,40814041439,6d773650ceda6d9bf35c5b756fb8c66370f826320136cfbc1d86cfd6e66cdfa9,True,731a7b10524c45b1c1c960b1dfd48fa4d2117148d4e1a5d8e31f33b2588bcbab,False,True
german_rem_v21,German,40814041440,706b5b47a7e158f64c3111c9a17774da8cd419dc848bc4e988b509cd21239655,True,56b0a6e79f44db2685dfd3a1794c1c307dda9821d70f462251deb81fbf3ca31a,False,True
german_rem_v21,German,40814041441,289a801754b41c1b2568794d56ac235f98bb914af63bf0c39f333446b63f6cab,True,7220e8505d9802619d408d412a6c9056041c08819ea055b22e99ef0b012552ab,False,True
german_rem_v21,German,40814041442,87dbb8cd72151ffd7974e76593e352149baf66fa9251e71086ee0e1b712bf5d0,True,032f636a39ee33ed5fd757bdae09116e3fb3708ff493421e99b374ed2f81d08b,False,True
italian_old_ud218,Italian,40814041438,0f7bbe1b792d9a8ad721f621956512a7c93a8916c57060e7a013daffaf27f9b8,True,d58a786e1caa8c3862600438d6ec3492df5f35faa8cbe59c307d0c99f9c65418,False,True
italian_old_ud218,Italian,40814041439,5f327581be281f22f1f8696336d5a58eb490f296bffad493be373ec70f2a5466,True,4e5a609e6a48cf5d61778e860a29d22f9504f1e15e780f5f9872fb448e755b46,False,True
italian_old_ud218,Italian,40814041440,73172f31fd7bb5c2d04fb67745ccd498c17e5e370b72a649a491846c207a8714,True,f4e1517bb32fcef48cd93a3439a22591741f2e2f4889687e6151b63c0c76725d,False,True
italian_old_ud218,Italian,40814041441,6fa1c125b38ddf1d8d16b34a1f1c8dc0ac110c0cb6faac7dc1328c87d5256418,True,1c79f9a1dfc87290e1088ba4ec5b71dea7c73f43fd0ffe42de7c2880222cf808,False,True
italian_old_ud218,Italian,40814041442,a8515b1e711aa21a78d2775fd8295b08fd85ebf932b327a8a0cb3252187b7daf,True,99004cf26977070c03531abdba1cb330ee301377989535b590394182da6f53c4,False,True
latin_udante_ud218,Latin,40814041438,4cd156826c8aa7158af18c5888c8303815f072bb368c7609834a45a2d4cc73cc,True,e5e630e420f1815d9ebed91b631638d50d900cf538da9ca7d086510aa31c9542,False,True
latin_udante_ud218,Latin,40814041439,eca6d371e942e118602883cdf19a32df7c639ab6e7593af6e39faaac327572f1,True,b824639d04c6632094a42819c2dc71a45f4afb0d73d4ef3ad61c74531f65f718,False,True
latin_udante_ud218,Latin,40814041440,5051c002b40cca6ba48be3a5a97e82d2b8118b6e1b8940a6ad4642a879384c4a,True,80d69c276c7cd54a93ba7f5c13174abc8adb10f1ddf3ad6bb2f665285e2b7465,False,True
latin_udante_ud218,Latin,40814041441,4355e6ee9a1c76ec59286ca8d01909b8683c99b6a542020731e98efd979b1ae1,True,dbb31173d1d323d2ed30daeaeeb6d31042d7be773c1261bd3db2847cd861d76c,False,True
latin_udante_ud218,Latin,40814041442,0af304d46fe1556349ada3519f9461449a70e172915cdd4869c85e49f95ca2aa,True,8a4e8e79266664dd8e8193f263d47c33e55849b22641da5edd2425b9cf061ee8,False,True
