source_id,seed,parent_corpus_sha256,phase3a4_k4_corpus_sha256,corpus_byte_identical,base_mapping_identical,first_four_suffixes_identical,parent_master_key_sha256,phase3a4_parent_master_key_sha256,language
french_profiterole_ud218,40814041438,79addccbd1cb4f0b4628201c326f4468d7f12b3a463fa19eade9628875e65a5d,79addccbd1cb4f0b4628201c326f4468d7f12b3a463fa19eade9628875e65a5d,True,True,True,d0fa882539ca63aae8d85c461c80cd3d6241f554785a3212445214f38cb08a41,d0fa882539ca63aae8d85c461c80cd3d6241f554785a3212445214f38cb08a41,French
french_profiterole_ud218,40814041439,38808130508622f290ff0b300810a76b53368c91e7a5ea569febffb34f0eafc5,38808130508622f290ff0b300810a76b53368c91e7a5ea569febffb34f0eafc5,True,True,True,7c98e85345c90c2fd0811d00a61dca814e4ed3bd17b953d4c43f347ad1ff97ae,7c98e85345c90c2fd0811d00a61dca814e4ed3bd17b953d4c43f347ad1ff97ae,French
french_profiterole_ud218,40814041440,bae2e82bda5fce202cdae51c6a67f046781c653f9cb3dc93d50a0d367148ab94,bae2e82bda5fce202cdae51c6a67f046781c653f9cb3dc93d50a0d367148ab94,True,True,True,5608243719a71003f9401a84f6ec0272d5780eebb22c81a90aa27b6e2d7895cd,5608243719a71003f9401a84f6ec0272d5780eebb22c81a90aa27b6e2d7895cd,French
french_profiterole_ud218,40814041441,fe71b643bdc0f169b1a7f097722ca689539ab866f4a944d52ae408060b0dde0d,fe71b643bdc0f169b1a7f097722ca689539ab866f4a944d52ae408060b0dde0d,True,True,True,7971f4cf9f025665fffa6a72d9eb4560281c2b5dc0611c54b617d45358ed6cf9,7971f4cf9f025665fffa6a72d9eb4560281c2b5dc0611c54b617d45358ed6cf9,French
french_profiterole_ud218,40814041442,aeaf9a7661d7b4b9b7fe822c3306b75afdcaf75862d50052d2ae8755ebd4b8be,aeaf9a7661d7b4b9b7fe822c3306b75afdcaf75862d50052d2ae8755ebd4b8be,True,True,True,17e2319abcfff2f5c68e86c1bd37e15fbc793d458e37ef747ac6b4e199143a94,17e2319abcfff2f5c68e86c1bd37e15fbc793d458e37ef747ac6b4e199143a94,French
german_rem_v21,40814041438,5b8eca430e00f9cf5cae09e23c9e62f464d4ed222d1fa40803ea0297804c827e,5b8eca430e00f9cf5cae09e23c9e62f464d4ed222d1fa40803ea0297804c827e,True,True,True,c37d5c2787574baa2e44f4abc0b9f834e6b0edd1ad11d779a079137ef8ae904c,c37d5c2787574baa2e44f4abc0b9f834e6b0edd1ad11d779a079137ef8ae904c,German
german_rem_v21,40814041439,b601a25c45b200b8e7e152970dacf27d56abb0daf33b2102be7b0f2b2d3bd9a3,b601a25c45b200b8e7e152970dacf27d56abb0daf33b2102be7b0f2b2d3bd9a3,True,True,True,a25f75425bd61001e06bc4939d6baa2d22d7350fcff0def30960e1d520500440,a25f75425bd61001e06bc4939d6baa2d22d7350fcff0def30960e1d520500440,German
german_rem_v21,40814041440,2c931eb3e40c0dcc513bf89b9db3c81f4ba0d33212cacb684ebc03af89dcf4d7,2c931eb3e40c0dcc513bf89b9db3c81f4ba0d33212cacb684ebc03af89dcf4d7,True,True,True,cffa07927909bff8b741f6b9bb216d0ca07baa2e4bf7c38137cdf287ddf84160,cffa07927909bff8b741f6b9bb216d0ca07baa2e4bf7c38137cdf287ddf84160,German
german_rem_v21,40814041441,ef6aa8fa870329bfb9bfc395bc164b764f76cf7006ce8bc334c560199ffa9849,ef6aa8fa870329bfb9bfc395bc164b764f76cf7006ce8bc334c560199ffa9849,True,True,True,31ee1a0a9dd94a1540671895560eb2352d4c3d3b87da4f49a244f4918ec812f2,31ee1a0a9dd94a1540671895560eb2352d4c3d3b87da4f49a244f4918ec812f2,German
german_rem_v21,40814041442,c007f405aa7dd6e3aa9c3f6ccf47fb14cfbb86ed45da844687f0aa45aef9d1b6,c007f405aa7dd6e3aa9c3f6ccf47fb14cfbb86ed45da844687f0aa45aef9d1b6,True,True,True,effd6dff2eb82be44f5144da92aea17546d49318cee191d360e79eb2b08998a6,effd6dff2eb82be44f5144da92aea17546d49318cee191d360e79eb2b08998a6,German
italian_old_ud218,40814041438,dd6a1f5cab48246e4bbf5d6b9dac93c1ffcb75f7b36fc0dd847e54dd528cb4d1,dd6a1f5cab48246e4bbf5d6b9dac93c1ffcb75f7b36fc0dd847e54dd528cb4d1,True,True,True,c3b861c1f7e877f10b9afba15f49f1c7ec091fb4ab69def4270450efd3531ccd,c3b861c1f7e877f10b9afba15f49f1c7ec091fb4ab69def4270450efd3531ccd,Italian
italian_old_ud218,40814041439,0fd0784dd7b5c4a670d7f773b863c6c348ffc29cafb6ef330f888a50437b28d7,0fd0784dd7b5c4a670d7f773b863c6c348ffc29cafb6ef330f888a50437b28d7,True,True,True,a7d6fd9c627069c05a84e9ad2b592a9274026d95c9b5a02f6411b326eeed674b,a7d6fd9c627069c05a84e9ad2b592a9274026d95c9b5a02f6411b326eeed674b,Italian
italian_old_ud218,40814041440,ceddeaaf782191bd7a598080f321c311f20c4869167a3a4f5af2d5645df8b24c,ceddeaaf782191bd7a598080f321c311f20c4869167a3a4f5af2d5645df8b24c,True,True,True,e74d6f669dd6b16fb3602e22ddde15ae0affa7b59320e13486d04af9466cb1dc,e74d6f669dd6b16fb3602e22ddde15ae0affa7b59320e13486d04af9466cb1dc,Italian
italian_old_ud218,40814041441,5df02945d9020b2bc3f7a88baab497069ecd518eb201211a5eef3b610c574214,5df02945d9020b2bc3f7a88baab497069ecd518eb201211a5eef3b610c574214,True,True,True,e9a424cae47027c73ea8ee256af2d36b05805b823587905892f7ac16d1e5450b,e9a424cae47027c73ea8ee256af2d36b05805b823587905892f7ac16d1e5450b,Italian
italian_old_ud218,40814041442,b22660cb0ca5c4bc0ba21df7ae5f6bf9135ee09643bb73b3fae581ce7ef870d5,b22660cb0ca5c4bc0ba21df7ae5f6bf9135ee09643bb73b3fae581ce7ef870d5,True,True,True,c39ed03ee4454a9a481c2de6f4f07692c24b2869fe1972cbf74e1860140dfc7a,c39ed03ee4454a9a481c2de6f4f07692c24b2869fe1972cbf74e1860140dfc7a,Italian
latin_udante_ud218,40814041438,9ae1b5c23c591a31784aca21e9076f7257a129b4c2dcf0fd2c1928df825b2fa9,9ae1b5c23c591a31784aca21e9076f7257a129b4c2dcf0fd2c1928df825b2fa9,True,True,True,ffbcdd957d38d3472f91c3a43d3d93ccda5d32fe846c7595cb4be200cbc50ee4,ffbcdd957d38d3472f91c3a43d3d93ccda5d32fe846c7595cb4be200cbc50ee4,Latin
latin_udante_ud218,40814041439,b550e942797de9d6b25474a1e1b9ef634878d110c2c5510f21955b2964f019ed,b550e942797de9d6b25474a1e1b9ef634878d110c2c5510f21955b2964f019ed,True,True,True,2ea40b299ff7f65d522e7bcd4dc9ebbdb158411a8c2a9914dd6a2cfead62bb21,2ea40b299ff7f65d522e7bcd4dc9ebbdb158411a8c2a9914dd6a2cfead62bb21,Latin
latin_udante_ud218,40814041440,e322e9f0e44e12bb7bee988a0d7fb62581ac4ecaad0387fd4504624ac37ce97f,e322e9f0e44e12bb7bee988a0d7fb62581ac4ecaad0387fd4504624ac37ce97f,True,True,True,58b7a0ecdd4220300c610b390b034ce8314f0c34d6ae95fbdbee258311b954b7,58b7a0ecdd4220300c610b390b034ce8314f0c34d6ae95fbdbee258311b954b7,Latin
latin_udante_ud218,40814041441,827e91d964e7fb90dc507b53186d0163548dc78d67db291daea89739b27eeb98,827e91d964e7fb90dc507b53186d0163548dc78d67db291daea89739b27eeb98,True,True,True,5158e09389dc707976e15debd8e7ea2377aba291011495a3b97eab0c5fa3aff3,5158e09389dc707976e15debd8e7ea2377aba291011495a3b97eab0c5fa3aff3,Latin
